document_id,document_name,type,folder_id,path,level
324,Check document spelling,0,338,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document content,5
325,Find & replace text & images,0,338,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document content,5
330,Save document,0,362,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Save & release,5
331,Release latest version,0,362,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Save & release,5
332,Display historical versions in Viewer,0,362,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Save & release,5
333,Revert to previous version,0,362,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Save & release,5
339,Document content - overview,1,338,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document content,5
340,Maintain numbered lists,0,338,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document content,5
341,Maintain tables,0,338,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document content,5
342,Maintain document links,0,338,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document content,5
343,Maintain document popups,0,338,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document content,5
344,Insert special character,0,338,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document content,5
345,Insert stock text,0,338,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document content,5
346,Insert reusable content,0,338,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document content,5
347,Maintain reusable content in document,0,338,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document content,5
348,Maintain user notes,0,338,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document content,5
350,Document layers - overview,1,349,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document layers,5
351,Maintain sections,0,349,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document layers,5
352,Maintain subsections,0,349,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document layers,5
353,Maintain tasks,0,349,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document layers,5
354,Maintain secondary windows,0,349,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Document layers,5
356,Image maps - overview,1,355,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Image maps,5
357,Maintain image map links,0,355,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Image maps,5
